datetime,Voltage
2006-12-16 17:24:00,234.84
2006-12-16 17:25:00,233.63
2006-12-16 17:26:00,233.29
2006-12-16 17:27:00,233.74
2006-12-16 17:28:00,235.68
2006-12-16 17:29:00,235.02
2006-12-16 17:30:00,235.09
2006-12-16 17:31:00,235.22
2006-12-16 17:32:00,233.99
2006-12-16 17:33:00,233.86
2006-12-16 17:34:00,232.86
2006-12-16 17:35:00,232.78
2006-12-16 17:36:00,232.99
2006-12-16 17:37:00,232.91
2006-12-16 17:38:00,235.24
2006-12-16 17:39:00,237.14
2006-12-16 17:40:00,236.73
2006-12-16 17:41:00,237.06
2006-12-16 17:42:00,237.13
2006-12-16 17:43:00,235.84
2006-12-16 17:44:00,232.69
2006-12-16 17:45:00,230.98
2006-12-16 17:46:00,232.21
2006-12-16 17:47:00,234.19
2006-12-16 17:48:00,234.96
2006-12-16 17:49:00,236.66
2006-12-16 17:50:00,235.84
2006-12-16 17:51:00,235.6
2006-12-16 17:52:00,235.49
2006-12-16 17:53:00,235.28
2006-12-16 17:54:00,235.06
2006-12-16 17:55:00,234.17
2006-12-16 17:56:00,233.77
2006-12-16 17:57:00,233.62
2006-12-16 17:58:00,234.68
2006-12-16 17:59:00,236.94
2006-12-16 18:00:00,237.52
2006-12-16 18:01:00,238.2
2006-12-16 18:02:00,238.28
2006-12-16 18:03:00,236.93
2006-12-16 18:04:00,235.01
2006-12-16 18:05:00,232.93
2006-12-16 18:06:00,232.12
2006-12-16 18:07:00,231.85
2006-12-16 18:08:00,232.25
2006-12-16 18:09:00,234.66
2006-12-16 18:10:00,236.2
2006-12-16 18:11:00,237.07
2006-12-16 18:12:00,235.78
2006-12-16 18:13:00,237.43
2006-12-16 18:14:00,237.26
2006-12-16 18:15:00,234.25
2006-12-16 18:16:00,234.2
2006-12-16 18:17:00,234.31
2006-12-16 18:18:00,233.29
2006-12-16 18:19:00,235.61
2006-12-16 18:20:00,235.25
2006-12-16 18:21:00,236.04
2006-12-16 18:22:00,235.51
2006-12-16 18:23:00,235.68
2006-12-16 18:24:00,235.2
2006-12-16 18:25:00,233.74
2006-12-16 18:26:00,233.84
2006-12-16 18:27:00,233.79
2006-12-16 18:28:00,235.5
2006-12-16 18:29:00,235.84
2006-12-16 18:30:00,236.15
2006-12-16 18:31:00,235.81
2006-12-16 18:32:00,235.41
2006-12-16 18:33:00,234.82
2006-12-16 18:34:00,233.76
2006-12-16 18:35:00,232.48
2006-12-16 18:36:00,233.54
2006-12-16 18:37:00,232.32
2006-12-16 18:38:00,234.02
2006-12-16 18:39:00,234.76
2006-12-16 18:40:00,234.67
2006-12-16 18:41:00,235.27
2006-12-16 18:42:00,235.12
2006-12-16 18:43:00,235.8
2006-12-16 18:44:00,234.81
2006-12-16 18:45:00,234.38
2006-12-16 18:46:00,234.2
2006-12-16 18:47:00,233.98
2006-12-16 18:48:00,234.99
2006-12-16 18:49:00,234.67
2006-12-16 18:50:00,233.92
2006-12-16 18:51:00,233.51
2006-12-16 18:52:00,233.44
2006-12-16 18:53:00,233.64
2006-12-16 18:54:00,232.39
2006-12-16 18:55:00,232.25
2006-12-16 18:56:00,232.32
2006-12-16 18:57:00,232.79
2006-12-16 18:58:00,232.09
2006-12-16 18:59:00,231.96
2006-12-16 19:00:00,231.99
2006-12-16 19:01:00,232.36
2006-12-16 19:02:00,232.71
2006-12-16 19:03:00,232.01
2006-12-16 19:04:00,232.78
2006-12-16 19:05:00,233.08
2006-12-16 19:06:00,233.69
2006-12-16 19:07:00,234.44
2006-12-16 19:08:00,234.6
2006-12-16 19:09:00,235.12
2006-12-16 19:10:00,234.28
2006-12-16 19:11:00,234.19
2006-12-16 19:12:00,234.69
2006-12-16 19:13:00,234.26
2006-12-16 19:14:00,233.3
2006-12-16 19:15:00,233.43
2006-12-16 19:16:00,233.45
2006-12-16 19:17:00,233.91
2006-12-16 19:18:00,234.43
2006-12-16 19:19:00,234.34
2006-12-16 19:20:00,234.58
2006-12-16 19:21:00,234.02
2006-12-16 19:22:00,234.29
2006-12-16 19:23:00,234.36
2006-12-16 19:24:00,232.64
2006-12-16 19:25:00,232.96
2006-12-16 19:26:00,233.47
2006-12-16 19:27:00,234.98
2006-12-16 19:28:00,234.34
2006-12-16 19:29:00,233.92
2006-12-16 19:30:00,233.94
2006-12-16 19:31:00,233.72
2006-12-16 19:32:00,233.2
2006-12-16 19:33:00,233.1
2006-12-16 19:34:00,232.29
2006-12-16 19:35:00,232.45
2006-12-16 19:36:00,231.97
2006-12-16 19:37:00,232.42
2006-12-16 19:38:00,233.38
2006-12-16 19:39:00,232.69
2006-12-16 19:40:00,233.2
2006-12-16 19:41:00,233.26
2006-12-16 19:42:00,232.84
2006-12-16 19:43:00,232.39
2006-12-16 19:44:00,232.14
2006-12-16 19:45:00,231.57
2006-12-16 19:46:00,231.66
2006-12-16 19:47:00,232.22
2006-12-16 19:48:00,232.81
2006-12-16 19:49:00,233.77
2006-12-16 19:50:00,232.82
2006-12-16 19:51:00,233.22
2006-12-16 19:52:00,232.84
2006-12-16 19:53:00,232.75
2006-12-16 19:54:00,232.64
2006-12-16 19:55:00,232.2
2006-12-16 19:56:00,232.2
2006-12-16 19:57:00,232.58
2006-12-16 19:58:00,232.4
2006-12-16 19:59:00,232.66
2006-12-16 20:00:00,232.43
2006-12-16 20:01:00,233.02
2006-12-16 20:02:00,232.8
2006-12-16 20:03:00,232.79
2006-12-16 20:04:00,231.98
2006-12-16 20:05:00,232.88
2006-12-16 20:06:00,232.52
2006-12-16 20:07:00,232.87
2006-12-16 20:08:00,233.78
2006-12-16 20:09:00,233.69
2006-12-16 20:10:00,234.04
2006-12-16 20:11:00,233.93
2006-12-16 20:12:00,233.62
2006-12-16 20:13:00,233.64
2006-12-16 20:14:00,233.26
2006-12-16 20:15:00,233.9
2006-12-16 20:16:00,233.68
2006-12-16 20:17:00,232.83
2006-12-16 20:18:00,233.0
2006-12-16 20:19:00,233.08
2006-12-16 20:20:00,232.69
2006-12-16 20:21:00,232.91
2006-12-16 20:22:00,232.87
2006-12-16 20:23:00,232.42
2006-12-16 20:24:00,232.31
2006-12-16 20:25:00,232.79
2006-12-16 20:26:00,233.05
2006-12-16 20:27:00,234.57
2006-12-16 20:28:00,234.79
2006-12-16 20:29:00,234.6
2006-12-16 20:30:00,234.54
2006-12-16 20:31:00,234.6
2006-12-16 20:32:00,233.77
2006-12-16 20:33:00,233.5
2006-12-16 20:34:00,233.27
2006-12-16 20:35:00,233.37
2006-12-16 20:36:00,232.64
2006-12-16 20:37:00,231.95
2006-12-16 20:38:00,232.21
2006-12-16 20:39:00,232.5
2006-12-16 20:40:00,233.63
2006-12-16 20:41:00,234.43
2006-12-16 20:42:00,234.63
2006-12-16 20:43:00,235.05
2006-12-16 20:44:00,234.96
2006-12-16 20:45:00,235.77
2006-12-16 20:46:00,236.76
2006-12-16 20:47:00,234.59
2006-12-16 20:48:00,235.13
2006-12-16 20:49:00,235.14
2006-12-16 20:50:00,235.75
2006-12-16 20:51:00,235.69
2006-12-16 20:52:00,236.86
2006-12-16 20:53:00,236.72
2006-12-16 20:54:00,236.05
2006-12-16 20:55:00,237.54
2006-12-16 20:56:00,237.44
2006-12-16 20:57:00,237.0
2006-12-16 20:58:00,235.55
2006-12-16 20:59:00,236.51
2006-12-16 21:00:00,236.76
2006-12-16 21:01:00,237.11
2006-12-16 21:02:00,238.72
2006-12-16 21:03:00,237.66
2006-12-16 21:04:00,238.2
2006-12-16 21:05:00,237.46
2006-12-16 21:06:00,237.36
2006-12-16 21:07:00,238.13
2006-12-16 21:08:00,237.74
2006-12-16 21:09:00,237.26
2006-12-16 21:10:00,237.69
2006-12-16 21:11:00,236.44
2006-12-16 21:12:00,236.23
2006-12-16 21:13:00,237.7
2006-12-16 21:14:00,235.73
